What trail did Lincoln use a Farmers' Almanac in? 	NULL	S08/data/set3/a4	NULL
What do jari litmanen and sami hyypiÃ¤ have in common?	NULL	S08/data/set2/a4	NULL
What did Finland join in 1995?	NULL	S08/data/set2/a4	NULL
What situated in Northern?	NULL	S08/data/set2/a4	NULL
What arrived in Finland?	NULL	S08/data/set2/a4	NULL
What ceded by Finland?	NULL	S08/data/set2/a4	NULL
Lunch is what?	NULL	S08/data/set2/a4	NULL
The earliest people were what?	NULL	S08/data/set2/a4	NULL
Are Various sporting events popular in Finland ?	NULL	S08/data/set2/a4	NULL
Are all official holidays in Finland established by acts of Parliament ?	NULL	S08/data/set2/a4	NULL
Are the people of Finland accustomed to technology and information services ?	NULL	S08/data/set2/a4	NULL
What was Wagadugu?	NULL	S08/data/set2/a5	NULL
What was controlled by Sundiata in 1240 AD, and absorbed into the larger Mali Empire?	NULL	S08/data/set2/a5	NULL
What connected the Akans to this Empire?	NULL	S08/data/set2/a5	NULL
What did Ghana capture in 1642?	NULL	S08/data/set2/a5	NULL
What was on March?	NULL	S08/data/set2/a5	NULL
	NULL	S08/data/set2/a5	NULL
	NULL	S08/data/set2/a5	NULL
The coastline is what?	NULL	S08/data/set2/a5	NULL
Ghana 's spending on education has what?	NULL	S08/data/set2/a5	NULL
Are Native Ghanaian languages divided into two linguistic subfamilies of the Niger-Congo language family ?	NULL	S08/data/set2/a5	NULL
Are more than 100 languages and dialects spoken in Ghana ?	NULL	S08/data/set2/a5	NULL
What happened with the portuguese in the 15th century?	NULL	S08/data/set2/a5	NULL
What Eves?	NULL	S08/data/set4/a1	NULL
What are a rumors that he remained a virgin?	NULL	S08/data/set4/a1	NULL
What did Isaac Newton place at 3 April, AD 33, which agrees with one traditionally accepted date?	NULL	S08/data/set4/a1	NULL
What died in London?	NULL	S08/data/set4/a1	NULL
What was against William?	NULL	S08/data/set4/a1	NULL
What quartered on March?	NULL	S08/data/set4/a1	NULL
NOTTTT  FOUND	NULL	S08/data/set4/a1	NULL
	NULL	S08/data/set4/a1	NULL
	NULL	S08/data/set4/a1	NULL
Were the two in a dispute over optical discoveries at the time ?	NULL	S08/data/set4/a1	NULL
Are Various trees claimed to be " the " apple tree which Newton describes ?	NULL	S08/data/set4/a1	NULL
What happened at the time of newton 's birth?	NULL	S08/data/set4/a1	NULL
What happened from school?	NULL	S08/data/set4/a1	NULL
What happened on those of aristotle?	NULL	S08/data/set4/a1	NULL
Which property did James Monroe sell in 1817?	NULL	S08/data/set3/a2	NULL
What did James Monroe's letters not contain?	NULL	S08/data/set3/a2	NULL
What was the result of the rejection of the Jay Treaty?	NULL	S08/data/set3/a2	NULL
Are Kangaroos Shy?	NULL	S08/data/set1/a1	NULL
What method of locomotion do Kangaroos Use?	NULL	S08/data/set1/a1	NULL
What is the average life expectancy of a kangaroo?	NULL	S08/data/set1/a1	NULL
What is a collective noun for a kangaroo?	NULL	S08/data/set1/a1	NULL
What is a roo?	NULL	S08/data/set1/a1	NULL
What is used to protect a vehicale from a Kangaroo?	NULL	S08/data/set1/a1	NULL
What method is used by Kangaroos to travel?	NULL	S08/data/set1/a1	NULL
What is the difference between leopards and cheetahs?	NULL	S08/data/set1/a2	NULL
To whom was Millard Fillmore born to?	NULL	S08/data/set3/a3	NULL
What did Taylor and Fillmore disagree upon?	NULL	S08/data/set3/a3	NULL
	NULL	S08/data/set2/a7	NULL
	NULL	S08/data/set2/a7	NULL
What is the MRT?	NULL	S08/data/set2/a2	NULL
What is the primary domestic source of water supply?	NULL	S08/data/set2/a2	NULL
What is the national language of Singapore?	NULL	S08/data/set2/a2	NULL
Why are relations with Malaysia and Indonesia important?	Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important.	S08/data/set2/a2	Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important.
What is the most densely populated independent country in the world?	NULL	S08/data/set2/a2	NULL
What is the punishment for first-degree murder?	NULL	S08/data/set2/a2	NULL
Who was Roosevelt's presidential hero?	Lincoln was Roosevelt's presidential hero.	S08/data/set3/a7	Lincoln was Roosevelt's presidential hero.
Who founded Montevideo?	Montevideo was founded by the Spanish in the early 18th century as a military stronghold.	S08/data/set2/a9	Montevideo was founded by the Spanish in the early 18th century as a military stronghold.
